id,station,name,type,logo,genre,broadcaster,language,country,region,bitrate,format,geo_fenced,home_page,monitor
90,http://mediaserv21.live-streams.nl:8000/live,"Hi On Line - France",r,local,Contemporary,Hi.Fine,English,Netherlands,Europe,320,MP3,No,"",No
91,http://mediaserv30.live-streams.nl:8000/live,"Hi On Line - Gold",r,local,"Pop, Golden Oldies",Hi.Fine,English,Netherlands,Europe,320,MP3,No,"",No
92,http://mediaserv38.live-streams.nl:8006/live,"Hi On Line - Jazz",r,local,Jazz,Hi.Fine,English,Netherlands,Europe,320,MP3,No,"",No
93,http://mediaserv33.live-streams.nl:8034/live,"Hi On Line - Latin",r,local,Latin,Hi.Fine,English,Netherlands,Europe,320,MP3,No,"",No
94,http://mediaserv33.live-streams.nl:8036/live,"Hi On Line - Lounge",r,local,Lounge,Hi.Fine,English,Netherlands,Europe,320,MP3,No,"",No
95,http://mediaserv30.live-streams.nl:8086/live,"Hi On Line - Pop (320K)",r,local,Pop,Hi.Fine,English,Netherlands,Europe,320,MP3,No,"",No
96,http://mscp2.live-streams.nl:8100/flac.flac,"Hi On Line - Pop (FLAC)",r,local,Pop,Hi.Fine,English,Netherlands,Europe,900,FLAC,No,"",No
97,http://mediaserv38.live-streams.nl:8027/live,"Hi On Line - World",r,local,"World Music",Hi.Fine,English,Netherlands,Europe,320,MP3,No,"",No
98,http://edge-bauerall-01-gos2.sharp-stream.com/jazzhigh.aac?aw_0_1st.skey=1650998937,"Jazz FM",r,local,"Jazz, Blues. Soul","Bauer Planet Radio",English,"United Kingdom",Europe,128,AAC,No,"",No
99,https://live.amperwave.net/direct/ppm-jazz24aac256-ibc1,Jazz24,r,local,Jazz,Jazz24.org,English,"United States","North America",256,AAC,No,"",No
100,https://maggie.torontocast.com:8076/aac,"JB Radio2 (320K)",r,local,"Alternative, Rock, Eclectic","JB Radio",English,Canada,"North America",320,AAC,No,"",No
101,http://193.197.85.26:8000/;stream/1,"Kanal K",r,local,Alternative,"Regionalradio Aargaudio AG",German,Switzerland,Europe,256,AAC,No,"",No
102,http://current.stream.publicradio.org/kcmp.mp3,"KCMP 89.3 FM - The Current",r,local,Alternative,PBS,English,"United States","North America",128,MP3,No,"",No
103,http://ice5.securenetsystems.net/KCSM,KCSM,r,local,Jazz,"KCSM FM",English,"United States","North America",64,AAC,No,"",No
104,http://kdhx-ice.streamguys1.com:80/live,"KDHX 88.1 FM St. Louis",r,local,Alternative,KDHX,English,"United States","North America",320,MP3,No,"",No
105,http://live-aacplus-64.kexp.org/kexp64.aac,"KEXP 90.3 FM Seattle",r,local,"Alternative, Indie",PBS,English,"United States","North America",64,AAC,No,"",No
106,http://stream1.opb.org/kmhd.mp3,"KMHD Portland FM 89.1 -  Jazz",r,local,Jazz,KMHD,English,"United States","North America",128,MP3,No,"",No
107,http://kuvo-ice.streamguys.org/kuvo-aac-128,"KUVO 89.3 FM Denver",r,local,Jazz,PBS,English,"United States","North America",128,AAC,No,"",No
108,http://kuvo-ice.streamguys.org/kuvohd2-aac-128,"KUVO HD2",r,local,"Pop, R&B, Hip Hop",PBS,English,"United States","North America",128,AAC,No,"",No
109,http://radio.linn.co.uk:8004/autodj,"Linn Classical",r,local,Classical,Linn,English,"United Kingdom",Europe,320,MP3,No,"",No
110,http://radio.linn.co.uk:8000/autodj,"Linn Jazz",r,local,Jazz,Linn,English,"United Kingdom",Europe,320,MP3,No,"",No
111,http://radio.linn.co.uk:8003/autodj,"Linn Radio",r,local,Eclectic,Linn,English,"United Kingdom",Europe,320,MP3,No,"",No
112,http://albireo.shoutca.st:8250/stream,"Mad Music Asylum",r,local,"Rock, Eclectic","Mad Music Asylum",English,"United States","North America",128,MP3,No,"",No
113,http://mdr-284350-0.cast.mdr.de/mdr/284350/0/aac/high/stream.aac,"MDR Klassik",r,local,Classical,"Mitteldeutscher Rundfunk",German,Germany,Europe,256,MP3,No,"",No
114,http://stream.fr.morow.com:8080/morow_hi.aacp,"Morow - Retro Progressive Rock",r,local,"Progressive Rock, Rock",Morow,English,France,Europe,128,AAC,No,"",No
115,https://radios.rtbf.be/musiq3-128.aac,"Musiq 3",r,local,Classical,RTBF,French,Belgium,Europe,128,AAC,No,"",No
116,http://mscp3.live-streams.nl:8250/class-high.aac,"Naim Classical",r,local,Classical,Naim,English,"United Kingdom",Europe,320,AAC,No,"",No
117,http://mscp3.live-streams.nl:8340/jazz-high.aac,"Naim Jazz",r,local,Jazz,Naim,English,"United Kingdom",Europe,320,AAC,No,"",No
118,http://mscp3.live-streams.nl:8360/high.aac,"Naim Radio",r,local,Eclectic,Naim,English,"United Kingdom",Europe,320,AAC,No,"",No
119,http://listen-nme.sharp-stream.com/nme1high.mp3,"NME 1 - Classic & New Indie Alt",r,local,Indie,NME,English,"United Kingdom",Europe,256,MP3,No,"",No
120,http://listen-nme.sharp-stream.com/nme2high.mp3,"NME 2 - New & Upfront Indie Alt",r,local,Indie,NME,English,"United Kingdom",Europe,256,MP3,No,"",No
121,http://icecast.omroep.nl/radio1-bb-aac,"NPO Radio 1",r,local,News,NPO,Dutch,Netherlands,Europe,64,AAC,No,"",No
122,http://icecast.omroep.nl/radio2-bb-aac,"NPO Radio 2",r,local,"Pop, Dance, Oldies, Rock",NPO,Dutch,Netherlands,Europe,64,AAC,No,"",No
123,http://icecast.omroep.nl/radio4-bb-mp3,"NPO Klassiek",r,local,Classical,NPO,Dutch,Netherlands,Europe,192,MP3,No,"",No
124,http://stream-relay-geo.ntslive.net/stream2,"NTS Live International",f,local,"Alternative, Underground, Club, Live",NTS,English,"United States","North America",256,MP3,No,"",No
125,http://stream-relay-geo.ntslive.net/stream,"NTS Live London - Don't Assume",f,local,"Alternative, Underground, Club, Live",NTS,English,"United Kingdom",Europe,256,MP3,No,"",No
126,https://d3isaxd2t6q8zm.cloudfront.net/icecast/omroepzeeland/omroepzeeland_radio,"Omroep Zeeland",r,local,Pop,"Omroep Zeeland",Dutch,Netherlands,Europe,128,MP3,No,"",No
127,http://play.organlive.com:8002/320oe,"Organ Experience",r,local,Classical,ORGAN.MEDIA,English,"United States","North America",320,MP3,No,"",No
128,http://play.organlive.com:8002/320,OrganLive.com,r,local,Classical,ORGAN.MEDIA,English,"United States","North America",320,MP3,No,"",No
129,https://sverigesradio.se/topsy/direkt/132-hi-aac,P1,r,local,"News, Culture","Sveriges Radio",Swedish,Sweden,Europe,192,AAC,No,"",No
130,https://http-live.sr.se/p2musik-aac-320,P2,r,local,"Classical, Jazz","Sveriges Radio",Swedish,Sweden,Europe,320,AAC,No,"",No
131,https://sverigesradio.se/topsy/direkt/164-hi-aac,P3,r,local,"Pop, Culture","Sveriges Radio",Swedish,Sweden,Europe,192,AAC,No,"",No
132,http://play.organlive.com:8002/320pb,"Positivly Baroque",r,local,"Classical, Baroque",ORGAN.MEDIA,English,"United States","North America",320,MP3,No,"",No
133,http://shoutcastunlimited.com:8512,"PRM - Prog Rock & Metal",r,local,"Progressive Rock, Metal","Will Mangold",English,"United States","North America",128,MP3,No,"",No
134,https://stream.rcs.revma.com/an1ugyygzk8uv,"Radio 357",r,local,"Rock, Alternative, Jazz","Radio 357",Polish,Poland,Europe,128,MP3,No,"",No
135,http://sc3.radiocaroline.net:8030,"Radio Caroline",r,local,"Rock, Classic Rock","Radio Caroline",English,"United Kingdom",Europe,96,MP3,No,"",No
136,https://orf-live.ors-shoutcast.at/fm4-q2a,"Radio FM4",f,local,"Alternative, Alt Rock, Electronic",ORF,English,Austria,Europe,192,MP3,No,"",No
137,http://radionz-ice.streamguys.com:80/concert.mp3,"Radio New Zealand - Concert",r,local,Classical,"Radio New Zealand",English,"New Zealand",Asia,64,MP3,No,"",No
138,http://radionz-ice.streamguys.com:80/national.mp3,"Radio New Zealand - National",r,local,"Eclectic, Music, Current Affairs","Radio New Zealand",English,"New Zealand",Asia,64,MP3,No,"",No
139,https://stream.nowyswiat.online/mp3,"Radio Nowy Swiat",r,local,"Rock, Alternative, Jazz","Radio Nowy Swiat",Polish,Poland,Europe,128,MP3,No,"",No
140,https://stream.radioparadise.com/flacm,"Radio Paradise - Main Mix",r,local,Eclectic,"Radio Paradise",English,"United States","North America",900,FLAC,No,"",No
141,https://stream.radioparadise.com/mellow-flacm,"Radio Paradise - Mellow",r,local,"Rock, Mellow Rock","Radio Paradise",English,"United States","North America",900,FLAC,No,"",No
142,https://stream.radioparadise.com/rock-flacm,"Radio Paradise - Rock",r,local,Rock,"Radio Paradise",English,"United States","North America",900,FLAC,No,"",No
143,https://stream.radioparadise.com/world-flacm,"Radio Paradise - World",r,local,"World Music","Radio Paradise",English,"United States","North America",900,FLAC,No,"",No
144,http://streaming.swisstxt.ch/m/drs1/mp3_128,"Radio SRF 1",r,local,"News, Entertainment, News",SRF,German,Switzerland,Europe,128,MP3,No,"",No
145,http://streaming.swisstxt.ch/m/drs2/mp3_128,"Radio SRF 2 Kultur",r,local,"Classical, Jazz",SRF,German,Switzerland,Europe,128,MP3,No,"",No
146,http://streaming.swisstxt.ch/m/drs3/mp3_128,"Radio SRF 3",r,local,Eclectic,SRF,German,Switzerland,Europe,128,MP3,No,"",No
147,http://streaming.swisstxt.ch/m/drs4news/mp3_128,"Radio SRF 4 News",r,local,News,SRF,German,Switzerland,Europe,128,MP3,No,"",No
148,http://streaming.swisstxt.ch/m/drsmw/mp3_128,"Radio SRF Musikwelle",r,local,"Pop, Schlager",SRF,German,Switzerland,Europe,128,MP3,No,"",No
149,http://streaming.swisstxt.ch/m/drsvirus/mp3_128,"Radio SRF Virus",r,local,Alternative,SRF,German,Switzerland,Europe,128,MP3,No,"",No
150,http://stream.srg-ssr.ch/m/rsc_de/aacp_96,"Radio Swiss Classic",r,local,Classical,"Swiss Broadcasting Corporation",German,Switzerland,Europe,96,AAC,No,"",No
151,http://stream.srg-ssr.ch/m/rsj/aacp_96,"Radio Swiss Jazz",r,local,Jazz,"Swiss Broadcasting Corporation",German,Switzerland,Europe,96,AAC,No,"",No
152,http://stream.srg-ssr.ch/m/rsp/aacp_96,"Radio Swiss Pop",r,local,Pop,"Swiss Broadcasting Corporation",German,Switzerland,Europe,96,AAC,No,"",No
153,https://ice.cr1.streamzilla.xlcdn.com:8000/sz=RCOLiveWebradio=mp3-192,"RCO Live",r,local,Classical,RCO,Dutch,Netherlands,Europe,192,MP3,No,"",No
